Gage_ID	Category	LON_NHD	LAT_NHD	HUC8	WsAreaSqKm	CatAreaSqKm	CaOCat	HydrlCondCat	MgOCat	SCat	CompStrgthCat	WetIndexCat	BFICat	ElevCat	PctWaterCat	PctCoastCrsCat	PctAlluvCoastCat	PctHydricCat	PctGlacLakeFineCat	PctGlacLakeCrsCat	PctGlacTilClayCat	PctColluvSedCat	PctSalLakeCat	PctExtruVolCat	PctSilicicCat	PctNonCarbResidCat	PctCarbResidCat	PctEolCrsCat	PctEolFineCat	RunoffCat	CLAYAVE	SILTAVE	SANDAVE	AWCAVE	PERMAVE	BDAVE	OMAVE	HGA	HGB	HGC	HGD	ROCKDEPAVE	NO4AVE	NO10AVE	NO200AVE	WTDEPAVE	SLOPEAVE	Horton	Dunne	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	ECOREG
4228500	Altered	-77.75720215	42.91783142	4130003	4351.2687	0.7128	34.54095078	0.121491	0.764944017	0.047772001	108.3073425	695.8156566	50.2790404	164.3622096	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	349	16.09	59.3	24.59	0.16	1.88	1.3	1.41	0.15	63.44	9.66	4.91	60	91.67	89.16	67.21	1.91	2.63	0	2	8.987916946	10.54083347	29.58415031	944.5940552	27.45000076	-8.180000305	35.63000107	19.63999939	-2.708333492	20.47166634	-2.708333492	826.4700317	84.83000183	40.90000153	20.77625656	250.4400024	146.4100037	250.230011	146.4100037	ECO04
4227500	Altered	-77.83892059	42.76673126	4130003	3700.3365	2.4687	8.095595631	0.116520485	1.643863534	0.3078993	74.20885045	646.0641633	45.89792198	196.1638534	0	0	73.13160773	0	0	0	0	0	0	0	0	0	0	0	0	349	21.65	56.66	21.67	0.15	1.25	1.38	1.73	0	49.72	28.47	11.49	58.67	83.95	80.75	63.22	1.95	4.24	3	2.666666746	9.001667023	10.89999962	30.21064186	946.522522	27.61000061	-8.470000267	36.08000183	20.4766674	-2.755000114	20.4766674	-2.755000114	815.9299927	100.3700027	36.84000015	27.49209213	271.6700134	133.8999939	271.6700134	133.8999939	ECO04
4229500	Altered	-77.5890274	42.95681	4130003	506.178	18.0144	29.86565331	0.019091474	2.634849257	0.493229797	86.0962373	536.2871703	52.88384293	219.7760232	0	0	0	0	99.18065548	0.729416467	0	0	0	0	0	0	0	0	0	349	24.72	51.13	24.13	0.14	1.84	1.41	2.3	7.46	57.81	24.36	8.75	59.54	76.16	72.17	56.09	3.19	7.44	2	2	8.943333626	10.39500046	29.22406578	945.3771362	27.29000092	-8.279999733	35.56999969	20.41333389	-2.12833333	20.41333389	-2.781666517	860.4199829	91.87999725	46.00999832	16.89258575	253.7200012	167.5299988	253.7200012	168.1900024	ECO04
4230500	Altered	-77.79141235	43.00997543	4130003	526.8915	7.9659	20.1831061	0.029774952	7.858493294	7.336964684	72.26715908	534.9611343	50.93548752	189.7932527	0	0	0	0	58.25330471	0	0	0	0	0	0	0	0	0	0	349	23.44	48.43	28.12	0.14	2.21	1.38	2.13	5.32	43.84	24.1	22.07	34.02	77.69	72.77	53.2	3.48	4.68	5	2	8.977083206	10.13083363	28.62625885	947.9458618	27.25	-8.140000343	35.38999939	19.69666672	-2.111666679	20.47999954	-2.776666641	866.1400146	86.37000275	44.43000031	17.74481583	254.5400085	163.4100037	251.9100037	164.8699951	ECO04
4232050	Altered	-77.51832581	43.13017273	4140101	76.5972	7.4574	12.99291706	0.080530667	8.556866709	0.061630198	132.8879365	509.9353126	51.45800145	133.3742361	0	0	0	0	71.74752595	0	0	0	0	0	0	0	0	0	0	390	17.26	46.73	36	0.12	4.18	1.36	1.48	26.89	36.93	26.18	9.76	36.01	85.57	83.07	52.85	3.17	7.56	2	2	9.219583511	9.654167175	27.58333397	946.1990967	27.31999969	-7.679999828	35	19.98500061	-1.830000043	20.7183342	-2.49333334	855.0599976	85.01000214	47.70999908	15.75925732	249.4500122	167.6100006	247.5200043	172.2599945	ECO04
4232482	Altered	-76.95393372	42.68053818	4140201	537.6213	0.6957	2.894557004	0.222721648	1.516688497	0.35191001	77.24970656	576.3635188	56.38421734	156.5763907	4.527813713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	28.27	54.27	17.44	0.14	0.65	1.44	2.07	0	23.91	55.57	20.52	56.865	79.15	75.59	62.56	1.59	4.93	4	2	9.477499962	10.39666653	28.86359406	957.4995117	27.95999908	-8.06000042	36.02000046	21.07166672	-2.475000143	21.07166672	-2.475000143	846.8099976	88.98000336	42.47999954	21.6662159	256.8699951	148.9199982	256.8699951	148.9199982	ECO04
4234000	Altered	-76.47312164	42.45339966	4140201	327.2211	6.4962	19.33183903	0.027927013	1.473947081	0.368136113	78.38179434	451.723192	46.98129676	302.4546439	0	0	0	0	30.24383486	0	0	0	0	0	0	0	0	0	0	414	26.53	54.89	18.57	0.15	0.94	1.31	2.22	1.04	9.31	66.83	19.74	54.415	86.7	83.51	68.26	2.25	10.72	2	3	8.205416679	10.72416687	29.46199608	950.4275513	26.77000046	-9.630000114	36.40000153	19.67000008	-3.680000067	19.67000008	-3.680000067	943.3599854	98.80000305	50.06000137	21.51100159	288.4200134	163.0700073	288.4200134	163.0700073	ECO04
4240300	Altered	-76.2265625	43.08097076	4140201	294.1677	3.6297	15.14566326	6.90E-05	2.49625802	0.952027023	54.40872955	645.66303	62.48103149	119.7819489	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	414	17.9	51.4	30.68	0.1	3.66	1.48	1.19	9.34	31.99	16.19	3.87	21.75	76.01	72.69	50.31	2.34	2.61	0.666666687	2	8.733333588	10.4800005	28.55585861	970.085083	27.36000061	-9.340000153	36.70000076	15.83833313	-2.705000162	20.38000107	-3.423333406	1035.97998	101.0999985	59.24000168	14.35160351	293.1799927	205.9799957	284.3099976	213.3399963	ECO04
4240120	Altered	-76.17041779	43.07743073	4140201	78.3477	23.8014	15.66180088	0.003494344	3.056927055	2.553751054	55.20700437	628.6336686	58.16777585	124.8259911	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	414.463208	19.5	48.2	32.3	0.12	4.17	1.35	1.67	30.76	22.9	31.3	11.83	27.755	82.84	79.87	54.06	2.47	3.4	0.67	2	8.816249847	10.46583366	28.39347076	975.2837524	27.48999977	-9.369999886	36.86000061	15.96666622	-2.701666594	20.51166725	-3.413333178	1018.469971	99.05999756	57.70999908	14.67222881	288.4299927	201.4400024	281.3699951	207.8399963	ECO04
4240010	Altered	-76.16246033	43.05750275	4140201	289.2447	19.0449	19.1592182	0.03552659	7.287726068	8.531119954	80.50711255	592.9351165	59.0998535	136.9512641	0	0	0	0	85.03851425	2.674731818	11.530646	0	0	0	0	0	0	0	0	414	20.32	51.44	28.23	0.12	2.99	1.43	1.55	14.97	31.16	30.65	11.08	32.305	80.59	77.02	55.23	2.38	4.07	0	2	8.816249847	10.46583366	28.39347076	975.2837524	27.48999977	-9.369999886	36.86000061	15.96666622	-2.701666594	20.51166725	-3.413333178	1018.469971	99.05999756	57.70999908	14.67222881	288.4299927	201.4400024	281.3699951	207.8399963	ECO04
